Column,Data_Type,Null_Count,Unique_Values,Min_Length,Max_Length,Pattern,Anomalies_Detected,Data_Quality_Issues
type,VARCHAR,0,1,12,12,Free text,None,Good
data,OBJECT,0,1,,,Fixed values,None,Good
expiresAt,VARCHAR,0,1,20,20,Free text,None,Good
channels,OBJECT,0,1,,,Fixed values,None,Good
priority,VARCHAR,0,1,6,6,Alphanumeric,None,Good
isRead,BOOLEAN,0,1,,,Boolean,None,Good
title,VARCHAR,0,1,28,28,Free text,None,Good
id,INTEGER,0,1,,,Sequential,None,Good
createdAt,VARCHAR,0,1,20,20,Free text,None,Good
userId,INTEGER,0,1,,,Sequential,None,Good
message,VARCHAR,0,1,65,65,Free text,None,Good
