Column,Data_Type,Null_Count,Unique_Values,Min_Length,Max_Length,Pattern,Anomalies_Detected,Data_Quality_Issues
technologies,OBJECT,0,1,,,Fixed values,None,Good
description,VARCHAR,0,1,71,71,Free text,None,Good
team,OBJECT,0,1,,,Fixed values,None,Good
name,VARCHAR,0,1,28,28,Alphanumeric,None,Good
id,INTEGER,0,1,,,Sequential,None,Good
priority,VARCHAR,0,1,4,4,Alphanumeric,None,Good
createdAt,VARCHAR,0,1,20,20,Free text,None,Good
risks,ARRAY,0,1,,,Fixed values,None,Good
budget,OBJECT,0,1,,,Fixed values,None,Good
updatedAt,VARCHAR,0,1,20,20,Free text,None,Good
timeline,OBJECT,0,1,,,Fixed values,None,Good
status,VARCHAR,0,1,11,11,Free text,None,Good
